Title,Description,Issue Type,Priority,Labels,Project,Milestone,Parent
Epic 1: Product Foundation and Onboarding,"Establish the core user account, onboarding, and profile foundation for StudyQuest.",Epic,P0,"epic,mvp",StudyQuest MVP,Foundation,
User Story 1.1: Account creation and onboarding,"As a new user, I want to create an account and complete onboarding so that StudyQuest can personalize my study journey.",Story,P0,"story,mvp",StudyQuest MVP,Foundation,Epic 1: Product Foundation and Onboarding
Build sign up, sign in, and password reset flows,"Implement authentication entry points and recovery flow.",Task,P0,"task,frontend,backend,mvp",StudyQuest MVP,Foundation,User Story 1.1: Account creation and onboarding
Create onboarding questionnaire for goals, study style, subjects, and challenges,"Collect initial personalization inputs during onboarding.",Task,P0,"task,frontend,backend,mvp",StudyQuest MVP,Foundation,User Story 1.1: Account creation and onboarding
Save onboarding profile and preferences,"Persist onboarding answers and user defaults.",Task,P0,"task,backend,mvp",StudyQuest MVP,Foundation,User Story 1.1: Account creation and onboarding
Create first-time user welcome flow,"Guide users into their first recommended action after onboarding.",Task,P0,"task,frontend,mvp",StudyQuest MVP,Foundation,User Story 1.1: Account creation and onboarding
User Story 1.2: Profile and preferences,"As a user, I want my profile and preferences saved so that my dashboard and recommendations feel personalized.",Story,P0,"story,mvp",StudyQuest MVP,Foundation,Epic 1: Product Foundation and Onboarding
Create user profile model,"Define persistent profile fields and defaults.",Task,P0,"task,backend,mvp",StudyQuest MVP,Foundation,User Story 1.2: Profile and preferences
Add editable preferences page,"Allow users to manage profile preferences after onboarding.",Task,P0,"task,frontend,mvp",StudyQuest MVP,Foundation,User Story 1.2: Profile and preferences
Support avatar, theme, and study goal settings,"Add initial customization fields for personalization.",Task,P0,"task,frontend,backend,mvp",StudyQuest MVP,Foundation,User Story 1.2: Profile and preferences
Epic 2: Progressive Learning System,"Create the level-based learning journey for evidence-based study methods.",Epic,P0,"epic,mvp",StudyQuest MVP,Core Learning Loop,
